Materials and Parts,McMaster.com,,,Quantities,Preferred Vendor,
Online,,,,,,
"AL angle 1""x1"" 1/8""",88805K48,8-ft,$20.15 ,,OnlineMetals,$7.92 / 8-ft
"AL square tube 1 1/2"" 1/8""",88875K61,3-ft,$16.43 ,,OnlineMetals,$14.54 / 3-ft
"PTFE Teflon angle 1""x1"" 1/8""",8604K12,ft,$21.91 ,,McMaster,cheapest
"Bearing 1/4""ID 1/2""OD",57155K376,ea,$6.38 ,2-4 per axis,VXB/eBay,R188ZZ $19.99/10-pk
"Lovejoy coupling 1/4""ID 5/8""OD",6408K913,ea,$2.54 ,2 per motor,McMaster,
"Lovejoy spider 5/8""OD",6408K61,ea,$1.16 ,1 per motor,McMaster,

Belt drive,,,,,,
"XL pulley 10T 1/4""ID",-,,,2-4 per axis,SDP/SI,A 6Z 3-10DF03708 $5.36/ea
XL belt,,,,1-2 per axis,SDP/SI,"XL pitch, 3/8"", various lengths"

ACME leadscrew,,,,,,
"ACME rod 1/4"" 16TPI",98935A205,6-ft,$14.30 ,,McMaster,
"Delrin bar 1""x1/2""",8662K411,ft,$7.07 ,"3/4"" per ACME leadnut",McMaster,
"ACME hex nut 1/4"" 16 TPI",94815A007,ea,$1.96 ,2 per ACME leadscrew,McMaster

Hardware store (or online for large quantities),,,,,
All-thread rod 1/4-20,98750A023,3-ft,$1.88 ,,Hardware store
"Machine screw 1/4-20, 3""",91440A554,50-pk,$11.35 ,2 per belt axis,Hardware store
"Coupling nut 1/4-20, 7/8""",90264A435,ea,$0.19 ,1 per leadnut,McMaster
"Machine screw nut 1/4"", 7/16""",90480A029,100-pk,$2.76 ,4-8 per axis,Hardware store
"Spring lock washer 1/4""",91102A750,100-pk,$1.58 ,2-4 per axis,Hardware store
"Flat washer 1/4""",,,,2 per motor,Hardware store
"Machine screw nut 10-24, 3/8""",90480A011,100-pk,$1.38 ,3 packs,McMaster
"Combo machine screw 10-24, 3/8""",90604A240,50-pk,$5.71 ,2 per leadnut,Hardware store
"Combo machine screw 10-24, 1/2""",91440A242,100-pk,$3.26 ,2 packs,McMaster
"Combo machine screw 10-24, 3/4""",91440A151,100-pk,$2.97 ,1 pack,Hardware store
"Combo machine screw 10-24, 1""",91440A247,100-pk,$5.09 ,a few,Hardware store
Flat washer 10-24,,,,2-3 per switch,Hardware store
"Combo machine screw 6-32, 3/8""",91440A144,100-pk,$4.02 ,2 packs,McMaster
"Set screw 6-32, 1/8""",91375A142,100-pk,$8.58 ,2 per ACME leadscrew,Hardware store
